id,door_type,title,region,start_period,end_period,location,poster,syear,smonth,sday,eyear,emonth,eday,door
235,exhibit,박민아 : 수용유희: 콘택트,서울,2021-08-01,2024-07-31,강북문화예술회관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220310_229%2F1646918241452Se54L_JPEG%2FD074558_36feeeed_main.jpg%3Ftype%3Dm1500,2021,8,1,2024,7,31,2
236,exhibit,리플렉트 프로젝트 Reflect Project,서울,2021-08-01,2024-07-31,힐스포파크 외벽,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20210927_164%2F16326867579571y5tI_JPEG%2FD075043_52527776_Poster162.jpg%3Ftype%3Dm1500,2021,8,1,2024,7,31,2
237,exhibit,PLACES BELONGED,서울,2022-07-09,2022-08-29,플로어,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220708_268%2F1657259952098nIrNo_JPEG%2F360_main_thumb_url_1657259952055.jpg,2022,7,9,2022,8,29,2
238,exhibit,2022 아시아미술가협회전,서울,2022-08-24,2022-08-29,동덕아트갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220825_89%2F1661405693115mAeWx_JPEG%2F360_main_thumb_url_1661405693101.jpg,2022,8,24,2022,8,29,2
239,exhibit,"이은서 : 깊어지자, 가라 앉자",서울,2022-08-23,2022-08-29,갤러리 아미디 연남,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220823_66%2F1661229652229carG4_PNG%2F360_main_thumb_url_1661229652136.png,2022,8,23,2022,8,29,2
240,exhibit,제주갤러리 공모전 당선 작가전,서울,2022-08-17,2022-08-29,인사아트센터,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220817_268%2F1660718107284J4CYt_JPEG%2F360_main_thumb_url_1660718107159.jpg,2022,8,17,2022,8,29,2
1483,festibal,영양고추 H.O.T 페스티벌,서울,2022-08-28,2022-08-30,서울특별시 중구 서울광장,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220826_204%2F1661482322570eDO5W_JPEG%2F110_1908640_manual_image_url_1661482322438.jpg,2022,8,28,2022,8,30,1
1484,festibal,Groove In Gwanak STREETDANCE FESTIVAL,서울,2022-07-16,2022-08-31,서울특별시 관악구 관천로 문화플랫폼 S1472,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220708_236%2F16572426210644KPVG_JPEG%2F2826947_image2_1.jpg,2022,7,16,2022,8,31,1
1485,festibal,한강달빛야시장,서울,2022-08-26,2022-10-01,서울특별시 서초구 반포한강공원달빛광장,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220811_219%2F16601877532836vmMB_JPEG%2F110_18893266_manual_image_url_1660187753270.jpg,2022,8,26,2022,10,1,1
1486,festibal,초·중·고등학생 문화공연 관람 지원 [공연봄날],서울,2022-06-01,2022-12-31,서울,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220721_83%2F1658394345610w5m1t_JPEG%2F110_26050459_manual_image_url_1658394345594.jpg,2022,6,1,2022,12,31,1
1487,festibal,문화가 흐르는 예술마당,서울,2022-05-28,2022-12-31,서울특별시 용산구 노들섬,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220706_170%2F1657093952357WVjyl_JPEG%2F2821264_image2_1.jpg,2022,5,28,2022,12,31,1
1488,festibal,서울거리공연 [구석구석 라이브],서울,2022-05-01,2022-12-31,서울 마포구,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220706_19%2F1657105393456jqhqs_JPEG%2F2820962_image2_1.jpg,2022,5,1,2022,12,31,1
1489,festibal,생생문화재 중랑구 체험학습,서울,2022-01-23,2022-12-03,서울특별시 중랑구 망우 역사 문화공원,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220602_70%2F1654156870816LeIx6_JPEG%2F110_manual_image_url_1654156870800.jpg,2022,1,23,2022,12,3,1
1490,festibal,남산봉수의식 등 전통문화 재현행사,서울,2022-01-01,2022-12-31,서울특별시 종로구 보신각,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220325_180%2F1648196677839Uo6cm_JPEG%2F110_manual_image_url_1648196677771.jpg,2022,1,1,2022,12,31,1
1491,festibal,왕궁 수문장 교대의식,서울,2022-01-01,2022-12-31,서울특별시 중구 덕수궁대한문,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2F110%2F56%2F82%2F34%2F110_25568234_manual_image_url_1641971034012.jpg,2022,1,1,2022,12,31,1
1492,festibal,장애인문화예술축제 A+ Festival,서울,2022-09-01,2022-09-03,서울 종로구 마로니에공원,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220701_43%2F1656659857461j0UrI_JPEG%2F110_1908757_manual_image_url_1656659857419.jpg,2022,9,1,2022,9,3,1
1493,festibal,금천과학축제 「G-Science Festival」,서울,2022-09-01,2022-09-04,서울특별시 금천구 금천구청,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220826_266%2F1661479381859q5WFo_JPEG%2F2844253_image2_1.jpg,2022,9,1,2022,9,4,1
